species,TACmodeled,envStochModeled,note,invasive
Pyrrocoma_radiata,yes,yes,samePop,no
Ramonda_myconi,no,yes,samePop,no
Ranunculus_bulbosus,no,no,samePop,no
Rumex_rupestris,no,no,samePop,no
Sanicula_europaea,no,no,samePop,no
Santolina_melidensis,no,no,samePop,no
Sarracenia_purpurea,yes,yes,samePop,no
Saussurea_medusa,no,yes,samePop,no
Scorzonera_humilis,no,yes,samePop,no
Senecio_jacobaea,no,no,samePop,no
Senecio_jacobaea_2,no,no,samePop,yes
Silene_acaulis,no,yes,samePop,no
Silene_douglasii_var._oraria,no,no,samePop,no
Silene_regia,no,yes,samePop,no
Silene_spaldingii,no,no,samePop,no
Solidago_altissima,no,yes,samePop,no
Sonchus_pustulatus,no,yes,samePop,no
Succisa_pratensis_3,no,yes,samePop,no
Tragopogon_pratensis,no,no,samePop,no
Trillium_apetalon,no,no,samePop,no
Trillium_camschatcense,no,yes,samePop,no
Trillium_grandiflorum_3,no,yes,samePop,no
Trillium_persistens,no,no,samePop,no
Trollius_laxus_2,no,no,samePop,no
Viola_elatior,no,no,samePop,no
Viola_pumila,no,no,samePop,no
Zea_diploperennis,no,no,samePop,no
Alyxia_stellata,no,yes,samePop,no
Astrocaryum_mexicanum,no,no,samePop,no
Borassus_aethiopum,no,no,samePop,no
Chamaedorea_elegans,no,no,samePop,no
Chamaedorea_radicalis,no,no,samePop,no
Coccothrinax_readii,no,yes,samePop,no
Dioon_caputoi,NA,NA,samePop,no
Dioon_edule,no,no,samePop,no
Dioon_sonorense,no,yes,samePop,no
Dioon_spinulosum,NA,NA,samePop,no
Encephalartos_cycadifolius,no,yes,samePop,no
Encephalartos_villosus,no,yes,samePop,no
Eremospatha_macrocarpa,no,no,samePop,no
Euterpe_edulis,no,no,samePop,no
Euterpe_precatoria_2,no,no,samePop,no
Geonoma_brevispatha,no,no,samePop,no
Geonoma_orbignyana,no,no,samePop,no
Iriartea_deltoidea,no,no,samePop,no
Laccosperma_secundiflorum,no,no,samePop,no
Mauritia_flexuosa,no,yes,samePop,no
Neodypsis_decaryi,no,no,samePop,no
Phytelephas_seemannii,no,no,samePop,no
Pseudophoenix_sargentii,NA,NA,samePop,no
Rhopalostylis_sapida,no,no,samePop,no
Sabal_yapa,no,no,samePop,no
Thrinax_radiata,no,yes,samePop,no
Acacia_bilimekii,no,no,samePop,no
Ambrosia_deltoidea,no,no,samePop,no
Ardisia_elliptica,no,yes,samePop,yes
Atriplex_acanthocarpa,no,no,samePop,no
Atriplex_canescens,no,no,samePop,no
Atriplex_vesicaria,no,yes,samePop,no
Banksia_ericifolia,NA,yes,samePop,no
Betula_nana,NA,NA,samePop,no
Cassia_nemophila,no,no,samePop,no
Clidemia_hirta,no,yes,samePop,yes
Cytisus_scoparius,no,no,samePop,yes
Fumana_procumbens,no,no,samePop,no
Gardenia_actinocarpa,no,yes,samePop,no
Helianthemum_juliae,no,yes,samePop,no
Lantana_camara,no,no,samePop,yes
Lonicera_maackii,no,no,samePop,no
Lupinus_arboreus,no,no,samePop,no
Miconia_albicans,no,no,samePop,no
Paliurus_ramosissimus,no,no,samePop,no
Petrophile_pulchella,NA,yes,samePop,no
Purshia_subintegra,no,yes,samePop,no
Rosa_multiflora,no,no,samePop,no
Sambucus_racemosa_subsp._sieboldiana,yes,no,samePop,no
Tetramolopium_arenarium,NA,NA,samePop,no
Ulex_minor,no,yes,samePop,no
Vella_pseudocytisus_subsp._paui,no,no,samePop,no
Ariocarpus_scaphirostris,no,yes,samePop,no
Astrophytum_asterias,no,NA,samePop,no
Astrophytum_capricorne_2,no,yes,samePop,no
Astrophytum_ornatum,no,yes,samePop,no
Carnegiea_gigantea,no,no,samePop,no
Cephalocereus_senilis,NA,NA,samePop,no
Coryphantha_robbinsorum,no,no,samePop,no
Echinocactus_platyacanthus,no,no,samePop,no
